x1,x2,x3,x4,x5,label
4.212225895,7.238929907,7.702501568,4.082881869,-8.675199464,1
-2.041128748,-3.849174409,-7.478456762,-7.614283711,-2.616926376,0
9.931822042,0.017435478,5.864317987,-2.516057,3.513572925,1
8.137324012,-1.946545509,-0.301070217,-7.283582813,6.899688377,0
5.967158575,-1.418858458,-1.565835434,4.694319022,-8.980884889,0
4.064712819,-8.806916909,9.162090646,5.565363192,6.734775857,0
3.864566323,1.317752249,-7.604622891,3.39784129,-5.129460255,0
3.713766519,-6.214515799,-9.687658882,8.364717966,0.749852277,0
-3.231367233,7.727211175,-9.186638471,-1.902041971,6.587847206,0
-2.450600131,4.799100151,7.971039192,-0.479298477,5.093071343,1
-2.7107098,0.266885298,-3.911712863,-5.991593848,-4.353823306,1
-2.433096456,-2.46489932,-0.674621625,-5.74302098,8.304713291,0
-2.806643541,2.99554653,5.330402843,2.333338316,-2.457803614,1
9.956256113,-1.567034481,5.105166859,-2.324048331,3.988700884,0
5.993707552,1.158740555,3.785416448,-2.384510545,6.475460722,1
-9.655997909,-5.287207145,-5.180124779,-3.529893034,-0.909040314,0
-4.091773001,-4.189175059,2.733516886,3.704313014,0.987620126,0
4.374524979,1.615286901,6.196461962,-9.54208191,-8.51783153,0
7.270585216,8.153702757,8.999371208,8.930791859,-3.955268376,0
8.460192919,6.40556326,6.62990837,0.461380651,-5.440443543,0
-0.115410052,2.291206552,-0.468072104,8.326006941,-7.569037119,1
0.493134391,7.91408152,3.541741103,5.633397951,3.281635596,1
5.993092905,-7.17152924,-6.205756317,-9.335713202,0.2401192,1
3.393948357,4.733280193,-3.751504322,-5.900112222,3.162397439,0
-4.954214089,-6.750143647,-7.589516151,-6.479869308,9.684077148,1
-0.999215573,-3.845855972,6.993418704,0.420340423,8.476402234,0
5.048949243,-5.963356912,-2.398284974,-2.738460105,4.974127458,1
1.024039362,-1.392440339,0.774149615,-7.55689537,-2.243275318,1
1.646413054,-0.725656675,2.146069671,2.017499769,0.670869398,1
5.336010539,-1.517533492,-1.912017263,-2.979899914,-7.219085459,0
-2.002402917,7.703184025,-5.341152066,-2.998135259,-5.2316361,0
-6.426596914,-1.656559178,-6.145717676,-8.172630292,-7.5561664,1
5.929001032,-8.743762834,-5.694141949,8.124360403,3.287799044,1
7.577925322,1.890048893,-6.774376226,-6.936849187,-9.262335641,1
2.682471767,-8.054017294,-5.031357191,3.65373862,9.113320218,0
-7.278206482,9.253814087,-0.392749681,3.216235528,4.014859428,1
-2.638511566,-9.9804971,6.132142842,1.191184047,-7.537090251,1
-1.771493078,9.839278626,-5.69019455,8.074496167,-10.15421658,0
5.992203143,-0.096261144,-2.081075712,6.090783439,1.559538585,0
5.931204111,1.02712423,-7.953602555,-7.860839452,0.719295611,1
1.931936991,-7.31260834,4.938094546,-2.819904724,-4.548129429,0
-4.2083836,-7.606315936,-2.435121832,-5.953198121,8.157552778,1
-5.062140256,6.45712406,-3.646614188,-6.748049523,-3.280998603,1
-4.558561535,5.048466372,9.834575636,6.186778239,2.502016948,0
-0.978666018,-4.664554819,-0.686216207,4.486640473,1.655144356,0
7.983472394,3.950952232,2.42656722,5.733794514,-6.818739007,1
-3.886648449,3.396599594,-6.773088597,0.633318548,-5.006115482,1
-9.350391266,-4.483518881,-6.742073407,-1.183916655,-1.627932986,1
-6.325395939,-1.451483616,8.233765191,-4.995989965,-9.951741734,1
-7.136229976,8.79885677,-4.945408511,6.80235988,-8.441960261,1
-0.450455423,1.538732495,8.908358035,-2.811191599,9.822488405,1
-1.171326469,8.860855044,-5.430895307,-8.985459426,8.06469412,0
-6.984518385,-0.634213342,-3.988828485,-4.455614469,-4.614451566,1
-6.640753099,3.17069238,-2.065742074,3.492066412,-1.3149927,0
2.96345084,6.512326382,-5.251967145,-2.657105775,-5.975878036,1
7.902970652,3.646333364,-9.365151295,-4.186160926,-0.203274638,1
-8.976416983,-6.608885422,-4.010591363,-8.760841777,9.219496188,0
9.304890383,2.63480209,0.112126654,-5.019494694,8.028705245,1
1.857308633,3.36168496,5.818771217,-0.728817193,-9.168469719,0
7.533259412,6.671621792,2.948487135,6.434070928,-1.929021277,0
1.273343671,-6.632832725,8.595813684,0.059216745,0.996357314,0
-7.330359396,8.64549591,-7.904494868,0.429106279,-3.109747748,1
-5.580370811,6.54778749,6.808992301,-6.510008659,0.917428317,1
3.394857891,-7.222216136,2.610419483,-3.651598215,8.516325033,0
3.818903182,4.327134595,-2.722826859,-6.202397591,9.473771332,0
7.971818272,-6.403426464,6.055078391,-0.145220219,-3.496230622,1
6.207007096,0.027393727,7.015967589,4.500525429,-7.190336648,1
4.037885009,9.574681869,-2.134883089,-9.751115779,-1.590811912,1
2.633268282,-8.213657683,9.620955209,-6.027706227,-5.561313081,0
-5.412922082,-0.15101981,-9.36992385,-0.555321538,6.789134265,1
-3.169034993,-7.443177333,5.96064223,2.222841202,4.167908327,1
8.583472911,6.710865523,6.532348299,7.671598392,8.286818573,0
-8.610204783,-7.005008318,-1.43929247,-7.707292168,8.812238713,0
-1.790969327,-0.778936157,-0.152486039,-0.032131031,-4.766124865,0
-7.361868187,4.836119331,-1.845679519,-4.093631713,-5.759827165,0
-9.613539498,7.596863786,4.302798765,-1.626040735,-9.068122798,1
-1.773713852,4.066873711,1.235261825,4.449443577,-4.474874099,1
5.943485088,7.992798204,-1.22320093,-0.27868624,-7.496598629,0
2.930154502,4.701428019,-0.635796925,8.457832526,-9.940329565,0
-9.635464606,2.1108501,3.259119074,-3.708187194,5.148672778,0
-2.508490893,-4.575571516,-2.041854645,-3.552494486,-2.892164182,0
-1.563066021,1.587074317,1.954076641,-2.363372038,-5.598096041,1
5.417288342,3.840641754,-0.407124436,4.966979989,-7.789824988,1
4.88150486,0.30950809,-3.849349818,-1.290473588,7.733072633,0
1.584998923,2.499725881,7.955665943,-4.68147097,-3.310410009,0
-0.865538879,-8.910240143,2.760267653,2.012782821,-3.721757606,1
-6.770060223,-9.710402883,-3.586180107,-1.357839789,-6.632408065,0
-7.346930222,-8.062966753,-6.605116428,7.420603584,8.011712776,0
8.118500001,-9.629903442,-6.786134193,-0.235163118,4.908085273,1
5.61124757,-8.593284045,-5.804290796,4.459258468,8.346304539,1
3.552916286,-6.526991584,-9.122139897,9.617406436,0.666367394,0
-2.208452592,6.1070072,-4.946998172,-5.118407951,2.118982706,0
-7.656122785,2.425466009,9.940291426,-1.18516566,-8.456578811,0
-0.407782689,0.820030596,6.184486032,-6.814033587,-8.793222525,1
8.437530807,0.517515662,-8.314134785,1.013278957,-1.918866238,1
-3.398841362,3.068488443,-2.997450106,-3.525832238,2.106273799,1
-5.628519676,5.709750154,0.985164745,-9.070226665,7.859171788,1
-8.126729048,1.195853091,9.224576958,-7.027251807,3.475570854,0
-8.741902707,-4.759347177,-0.166622974,0.524134414,-0.578656072,1
7.772961549,4.167743749,1.32631539,9.290836567,6.995377749,1
-4.940724565,8.034043813,1.043564195,0.592568369,-7.298337467,0
6.243884154,-7.822061413,-7.032253532,-6.194673595,0.270334802,1
1.273951381,5.931370917,-2.397932559,6.933913323,4.506116889,1
-9.345126296,-4.245047616,9.738401768,9.226872906,1.713945019,1
-6.789755804,4.733452162,1.878342898,1.249873709,9.283189177,0
5.239888631,9.421187412,7.435480952,-7.979360948,-0.668078882,0
1.283194564,-3.300175852,-3.935571769,3.331102632,2.486111199,1
-4.87215755,3.773524073,7.630448278,-9.95493077,4.096747906,1
-4.38305904,-1.801798791,-0.339885248,-5.211126752,-9.092967609,0
0.132298637,-2.92228769,3.511051347,5.774732804,6.214384885,1
-0.942388079,8.128496113,3.902079779,7.671835892,-0.571915838,0
-7.433968047,3.734167931,-8.796448356,1.582706877,1.423220927,0
6.440443658,-0.756251331,0.872094547,-0.702973181,1.925478381,0
5.557693581,-0.161114264,-3.338951926,-4.177982683,-0.623808826,0
2.745310479,-3.067478745,-6.646592704,5.038718852,-8.277028623,1
3.336366484,9.667278896,9.817621039,-9.529534521,-8.410207656,1
9.551116816,1.069172167,-8.958711719,9.032937281,2.503618646,1
7.241566156,-4.460800374,6.819286437,-3.987231868,-8.043567824,0
-8.649245941,-4.093837265,1.605451367,0.226810717,9.368260776,1
5.536579746,1.786135631,9.32044911,8.244447529,-4.382144547,1
6.025909319,7.607888748,6.476110984,-1.159521626,7.902279943,0
-2.877282037,2.672803125,2.692796643,2.043388702,-0.526771335,1
-5.003779654,-0.295473102,7.512476472,-5.07600053,6.653759884,1
-5.18891549,-2.731278011,7.69869583,-4.923129771,4.173056549,1
-0.334527722,0.142243486,-1.121717224,-2.747401883,0.800490361,1
-7.112034279,-6.377868064,8.401426508,0.882516039,-7.090164143,0
-2.901582818,-5.589510793,-0.552801557,-7.954268303,3.060408571,1
0.629928591,-2.558004223,8.154254499,1.670822278,-9.628951375,1
7.196815388,-6.310846529,-1.219777102,9.358801947,5.836059626,1
-2.083535551,-8.23764067,9.282300055,0.225834962,3.101339602,1
-3.98993805,-1.11116692,2.976341969,-8.493334488,2.231198036,0
6.765206147,-0.0795106,3.922391196,-8.982475287,5.573201567,0
-6.016739544,-1.075550906,6.22661644,-9.344198767,-8.539786534,1
9.155454327,9.518378576,-4.990079311,3.913615343,-2.171611879,0
3.660008696,-4.916677314,-3.523697723,-5.434338516,3.442491948,1
-6.964412082,8.415684446,0.660531865,-8.546571937,5.558339823,1
-1.804354668,-1.737446019,5.795781382,0.799079031,6.199176131,0
9.715116403,-8.993337703,7.408095535,-4.19264817,7.699603306,1
3.473674141,9.40968114,-8.701012591,-8.344693379,3.42353691,1
-0.100272727,9.806711991,-5.511237634,8.938163875,-2.305986906,0
-5.48191918,4.617225768,-7.62782722,-5.339204668,9.779302411,0
7.399602798,-9.703594634,2.891916637,2.275160032,0.064279584,1
6.064418106,8.220608271,-1.903805195,1.166488527,3.588170057,0
-5.126900742,-3.093808958,-6.241017508,-6.101377837,9.023448418,1
2.077060564,1.255051247,1.246907349,-8.636007053,-9.067180932,0
-0.993055007,1.243923591,7.834557692,-0.018408911,3.881891337,1
9.668344892,-0.443223163,9.981100616,-0.113831849,6.100932494,0
7.608358593,6.190356611,6.897713336,7.665872975,-8.029216721,0
-4.694029607,2.87293682,6.716469718,8.361688746,-2.459187054,1
-9.41688922,-8.337996203,1.54676603,8.994083511,6.313434663,0
-0.243394484,5.170460087,-7.213504718,0.331291125,-8.926707383,0
4.657273031,-3.638139686,-7.89057769,1.710142393,-6.855460615,1
-7.048752129,-4.268006655,8.031569192,2.13650465,1.574517187,1
-2.608431487,0.981321634,-9.775298832,-8.008988207,-2.595568692,1
7.37815912,-9.46577095,-6.748255046,0.173673511,-9.105313848,1
-9.16032319,7.926216135,-5.806855497,-7.471292634,2.147293849,1
-4.569527672,3.868513545,-4.003047969,3.310838901,-3.595472586,1
5.632889541,3.076868091,-4.72488503,2.30951682,-7.423033212,1
-3.049672108,-7.898605449,-1.217481231,0.764001647,1.949731253,1
2.130113052,-4.034284771,8.399377451,-6.343335644,6.134484983,1
-0.063521444,3.31193773,5.579641459,-6.17212033,-3.190074038,1
8.012081898,0.16185125,-3.751354376,2.481310202,8.452404063,1
8.953678427,-5.447120517,5.38645927,2.539590741,-2.566330574,1
2.536008668,4.333872723,-0.097130031,-5.617641322,-8.585463387,0
9.587834488,4.861255376,3.24721617,-9.652025384,5.418139192,1
-8.423257239,6.169019593,0.551361252,1.681222707,6.527871937,1
2.461674168,-0.620638388,-2.993308811,1.528406574,-5.804553343,1
-4.833016784,10.06923536,9.689795953,-2.933838992,5.238955131,0
